// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40AC5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
37467		5.688131	2.694616	8.171740	-0.000000	0.000000	0.502016	-0.004757	-0.125851	0.168753	-0.644531	0.080811	-0.431885	0.056807	0.026996	0.081753	0.292190	-0.234004	-0.221248	-0.900509	18.274089	-33.417740	-149.574606
37468		6.240170	2.592046	7.965758	0.000000	0.000000	0.632966	0.022472	-0.200223	0.205648	-0.653564	0.080566	-0.427490	0.062295	0.025976	0.079723	0.309711	-0.256125	-0.229765	-0.886390	18.046828	-36.610685	-147.495100
37469		6.318470	2.394438	7.916424	-0.461700	-0.053752	0.584910	0.077140	-0.241250	0.244910	-0.653564	0.078369	-0.429443	0.063060	0.023991	0.079250	0.301334	-0.246131	-0.225787	-0.893106	18.169595	-35.149837	-148.509929
37470		5.508534	3.375187	8.612357	0.983046	-0.007887	0.908411	0.128955	-0.310559	0.289048	-0.655762	0.078369	-0.434082	0.054903	0.033776	0.086231	0.302432	-0.247649	-0.226475	-0.892140	18.171463	-35.370547	-148.385178
37471		5.576372	3.082256	8.697756	0.813721	0.242056	0.935624	-0.018916	-0.433574	0.280816	-0.664795	0.080566	-0.431885	0.055532	0.030909	0.087095	0.303166	-0.249923	-0.226702	-0.891199	18.107677	-35.656080	-148.293076
37472		6.054497	3.090275	8.607355	0.517401	0.004602	1.142913	-0.040411	-0.532918	0.318613	-0.667236	0.084961	-0.420898	0.060266	0.031016	0.086228	0.303929	-0.252719	-0.226931	-0.890091	18.027592	-36.002980	-148.195819
37473		5.415142	2.303593	9.077629	0.653133	1.131611	0.926307	0.064010	-0.655707	0.386321	-0.674072	0.087158	-0.420898	0.053809	0.023111	0.090960	0.304980	-0.255960	-0.227725	-0.888602	17.996092	-36.426912	-148.079436
37474		4.776251	3.048544	10.347115	2.061323	1.637114	1.686822	0.083237	-0.891924	0.387857	-0.676270	0.084717	-0.416504	0.047241	0.030534	0.103695	0.305791	-0.260235	-0.228956	-0.886763	18.003951	-36.981607	-148.012792
37475		5.204938	2.204753	9.752548	1.121161	1.791192	1.259685	0.186406	-1.204950	0.441960	-0.689941	0.093506	-0.410156	0.051412	0.022071	0.097857	0.306606	-0.265709	-0.231013	-0.884321	18.088332	-37.705603	-147.977812
37476		4.864666	1.996597	10.133905	1.459352	2.400098	1.253226	0.250837	-1.523481	0.510004	-0.694336	0.088867	-0.392334	0.047822	0.019961	0.101730	0.307425	-0.272641	-0.233772	-0.881197	18.227626	-38.626088	-147.970647
37477		4.484282	1.409943	10.515519	1.590671	3.317174	1.102199	0.357373	-1.893124	0.545133	-0.707764	0.091064	-0.379150	0.043806	0.014031	0.105598	0.308102	-0.280869	-0.237385	-0.877402	18.457398	-39.728239	-148.021245
37478		4.737847	1.649988	10.548259	1.773336	3.229171	1.271392	0.399345	-2.286217	0.563392	-0.721436	0.095215	-0.363770	0.046122	0.016420	0.106047	0.308399	-0.290931	-0.241851	-0.872787	18.781820	-41.072648	-148.168743
