// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A40
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
52023		7.817704	0.382636	5.817580	0.000000	0.000000	-0.060408	0.155817	0.463734	0.312284	-1.067627	0.123047	-0.064209	0.078306	0.003903	0.057997	0.088926	-0.445138	-0.067075	-0.888507	3.850309	-53.412411	-170.506747
52024		8.463903	0.363323	6.123253	-0.000000	-0.000000	0.640238	0.245292	0.494905	0.389791	-1.067871	0.129639	-0.075684	0.084783	0.003723	0.061027	0.096045	-0.450902	-0.069083	-0.884698	3.491439	-54.202924	-169.395371
52025		9.674402	0.308206	6.841397	-0.200943	0.094483	2.038229	0.338659	0.424984	0.461535	-1.065674	0.129639	-0.080322	0.096882	0.003190	0.068214	0.098122	-0.447009	-0.070278	-0.886350	3.571877	-53.726718	-169.175412
52026		10.564701	-0.081854	7.588794	-0.264400	0.501221	3.183009	0.451400	0.270148	0.543961	-1.059082	0.134277	-0.082764	0.105751	-0.000702	0.075743	0.101636	-0.445778	-0.070930	-0.886522	3.394862	-53.591155	-168.634574
52027		9.646765	-0.826667	7.342820	-0.130541	1.251016	2.273598	0.490153	0.142444	0.600827	-1.066406	0.145264	-0.081299	0.096545	-0.008157	0.073339	0.105235	-0.444936	-0.071744	-0.886459	3.233991	-53.507622	-168.090408
52028		8.654247	-1.313125	6.511309	-0.332118	1.633869	0.968664	0.467202	0.064077	0.600892	-1.057861	0.154297	-0.081787	0.086603	-0.013023	0.065055	0.108960	-0.444619	-0.072444	-0.886112	3.034407	-53.489787	-167.509112
52029		9.651315	-1.371798	6.487147	-0.938512	1.467503	1.766534	0.433019	-0.031627	0.540789	-1.060059	0.156494	-0.088623	0.096540	-0.013597	0.064857	0.113275	-0.444818	-0.070476	-0.885629	2.317945	-53.499742	-166.590968
52030		10.822953	-1.329471	6.207302	-1.810874	1.179575	2.547073	0.444605	-0.181047	0.483663	-1.058105	0.163330	-0.082275	0.108205	-0.013171	0.062142	0.116341	-0.445536	-0.071471	-0.884791	2.203232	-53.614325	-166.131707
52031		11.185562	-1.253566	5.897828	-2.111053	0.811639	2.691602	0.501593	-0.178743	0.417238	-1.058105	0.163330	-0.082275	0.111829	-0.012450	0.059047	0.121694	-0.449235	-0.066367	-0.882595	0.761762	-54.011855	-164.687082
52032		11.029642	-1.164267	5.813622	-2.051606	0.719257	2.519396	0.579367	-0.087070	0.413207	-1.061035	0.176758	-0.083252	0.110295	-0.011583	0.058151	0.124789	-0.449401	-0.068049	-0.881950	0.768344	-54.064900	-164.285097
52033		10.361267	-1.157806	5.797955	-1.437664	0.629497	2.013111	0.614203	0.006081	0.411648	-1.056396	0.176758	-0.083252	0.103638	-0.011543	0.057941	0.131314	-0.457368	-0.061405	-0.877382	-1.234045	-54.954962	-162.334085
52034		9.552382	-1.202765	5.658178	-1.127489	0.773385	1.270645	0.591879	0.048252	0.385563	-1.049805	0.179199	-0.083252	0.095561	-0.012011	0.056523	0.134373	-0.456884	-0.063088	-0.877052	-1.208789	-54.922613	-161.950637
52035		8.725438	-1.167377	5.363111	-0.664975	0.656816	0.453051	0.593874	0.004426	0.349289	-1.054688	0.185791	-0.085938	0.087276	-0.011681	0.053595	0.140717	-0.465822	-0.056074	-0.871817	-3.407266	-55.894209	-159.854322
52036		8.087518	-1.150158	4.956313	-0.653034	0.672790	-0.303916	0.624308	-0.087063	0.308820	-1.050049	0.185791	-0.088135	0.080871	-0.011531	0.049562	0.143492	-0.465846	-0.058137	-0.871216	-3.314914	-55.933633	-159.533927
52037		7.886807	-1.029241	4.676780	-0.551566	0.409670	-0.611532	0.638872	-0.176294	0.260050	-1.052490	0.190186	-0.086182	0.078840	-0.010339	0.046804	0.149189	-0.473657	-0.052369	-0.866400	-5.294821	-56.759670	-157.597746
52038		8.162482	-1.088954	4.435338	-0.894497	0.365885	-0.509455	0.642949	-0.262959	0.231103	-1.048096	0.194824	-0.084229	0.081579	-0.010938	0.044426	0.151643	-0.474374	-0.054803	-0.865431	-5.149144	-56.897657	-157.331681
