// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A40
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
09760		9.651681	-0.338470	3.149452	0.000000	-0.000000	0.345314	0.598198	0.791644	0.249094	-1.111816	0.149658	0.078125	0.242081	-0.008285	0.076281	0.103146	-0.588834	-0.055548	-0.799719	-6.198931	-72.413551	-160.761226
09761		8.392263	0.636772	3.443149	0.937595	-0.730679	-0.797271	0.654590	0.206695	0.226883	-1.114502	0.160645	0.068359	0.209983	0.015813	0.085666	0.110372	-0.586057	-0.060153	-0.800460	-6.170934	-72.084185	-159.806120
09762		7.885787	1.240090	3.138770	0.943245	-1.311465	-1.388587	0.703522	-0.117561	0.175406	-1.108154	0.167725	0.079102	0.196961	0.030741	0.079030	0.117205	-0.585874	-0.066345	-0.799132	-5.864551	-72.163486	-159.037039
09763		8.033287	0.872861	2.876815	0.561754	-0.921242	-1.303466	0.613299	-0.290004	0.078877	-1.108154	0.172119	0.078857	0.200548	0.021463	0.072813	0.119767	-0.585881	-0.076538	-0.797835	-3.453245	-72.403048	-160.397653
09764		7.651860	0.679847	2.872554	0.567543	-0.531999	-1.648159	0.468450	-0.043182	0.061957	-1.117432	0.176270	0.083252	0.191245	0.016723	0.072016	0.119418	-0.582493	-0.088230	-0.799160	0.355750	-72.191190	-163.261817
09765		7.385473	0.394957	3.206272	0.763521	0.003231	-1.787827	0.257659	0.057418	0.049712	-1.110840	0.180908	0.078369	0.184688	0.009731	0.080056	0.117312	-0.577417	-0.097956	-0.802018	3.944384	-71.655201	-166.204831
09766		7.659550	0.117497	3.277535	0.540049	0.345704	-1.505247	0.136318	-0.067426	0.088704	-1.110840	0.180908	0.080566	0.191416	0.003010	0.082105	0.116249	-0.572571	-0.103510	-0.804944	5.926299	-71.056734	-167.797896
09767		7.856480	0.026651	3.100304	0.201577	0.376475	-1.377376	0.016718	-0.076746	0.054823	-1.113281	0.185303	0.082764	0.196337	0.000785	0.077696	0.115569	-0.568426	-0.104687	-0.807822	6.489951	-70.487996	-168.304858
09768		8.062860	-0.335262	3.227516	0.081785	0.733047	-1.152729	-0.026145	-0.113816	-0.018040	-1.111084	0.187744	0.086914	0.201455	-0.008401	0.080977	0.115321	-0.565924	-0.104716	-0.809608	6.596378	-70.136626	-168.419808
09769		9.269622	-0.321569	3.476913	-0.085830	0.682875	0.068808	0.000564	-0.333741	-0.034429	-1.113281	0.180908	0.096436	0.231372	-0.008139	0.087888	0.116819	-0.567160	-0.104355	-0.808575	6.177803	-70.315834	-167.911468
09770		10.619855	-0.236188	3.270460	-0.656075	0.396153	1.275383	-0.016562	-0.216714	-0.086833	-1.110840	0.176514	0.107910	0.265267	-0.006176	0.082482	0.113733	-0.568007	-0.099213	-0.809067	5.343283	-70.335540	-167.762511
09771		11.059086	-0.345378	3.630937	-0.519550	0.560635	1.807195	-0.107348	0.254643	-0.072367	-1.112793	0.172119	0.103760	0.276756	-0.008764	0.089904	0.107842	-0.565744	-0.093318	-0.812155	4.932552	-69.896081	-168.320627
09772		10.961670	-0.734500	3.891465	-0.443799	0.954488	1.794725	-0.169854	0.410779	0.009187	-1.112793	0.172119	0.085693	0.274539	-0.018126	0.095916	0.098143	-0.562142	-0.082893	-0.817002	4.053996	-69.198100	-169.097377
09773		11.025328	-0.547989	4.231051	-0.242695	0.660795	1.988264	-0.187057	0.499285	0.089804	-1.114990	0.174072	0.076660	0.276301	-0.013145	0.104084	0.121317	-0.555560	-0.089300	-0.817717	1.756302	-68.473568	-164.317528
