// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40AC5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
23654		19.591165	-2.584510	25.034230	25.180096	11.747365	5.803960	1.851841	-5.192953	2.346601	-0.436523	0.188965	0.766602	0.449814	-0.065957	0.654420	0.090553	-0.765271	-0.134776	-0.622893	171.964967	-77.897158	26.474813
23655		14.045459	17.834369	26.520955	32.875790	-6.576642	-0.113500	3.234408	3.833881	1.308665	-0.512695	0.248291	0.664551	0.375851	0.425061	0.662872	0.137890	-0.732449	-0.142689	-0.651264	-171.920780	-83.406598	14.845949
23656		-2.716722	8.527703	14.453510	16.454586	-2.184194	-13.449347	0.112284	5.640695	1.577006	-0.574707	0.281250	0.545898	-0.046418	0.211624	0.365416	0.161380	-0.687236	-0.118999	-0.698213	-64.038264	-86.451998	-93.080405
23657		2.282141	1.528134	10.356861	9.902341	2.408686	-6.538498	0.590344	6.260409	0.047361	-0.640137	0.285156	0.412598	0.077034	0.036359	0.253684	0.175621	-0.629394	-0.110693	-0.748844	-16.790836	-78.966631	-139.737800
23658		3.571279	2.823152	8.671412	7.970398	0.189766	-4.147278	0.316883	7.119136	-1.336313	-0.681885	0.260498	0.267090	0.109216	0.068028	0.207922	0.174700	-0.557679	-0.108030	-0.804241	-3.403034	-69.189795	-153.141374
23659		6.120678	-0.801996	8.446506	4.204366	2.613615	-0.612549	-0.604405	7.388168	-1.896183	-0.703125	0.220703	0.128662	0.171094	-0.022446	0.196066	0.160592	-0.479667	-0.098493	-0.856988	1.623806	-58.624399	-159.684429
23660		8.419001	-3.703200	10.196818	1.462760	4.949058	2.894697	-0.439268	7.531786	-1.942254	-0.703857	0.174316	0.008301	0.230889	-0.096700	0.234325	0.145666	-0.395252	-0.089783	-0.902495	3.996398	-47.695815	-163.429875
23661		14.408838	-4.307387	12.779762	-3.734590	4.544942	8.996721	0.556427	7.499564	-1.334823	-0.688965	0.135010	-0.145508	0.386045	-0.116045	0.283287	0.141100	-0.306380	-0.088499	-0.937225	5.693975	-36.817490	-164.773191
23662		22.304200	-0.447803	12.285093	-12.713938	-1.550137	12.156167	1.326184	7.426929	-0.741055	-0.631348	0.089355	-0.290283	0.582656	-0.021023	0.253463	0.145060	-0.214889	-0.093266	-0.961292	7.485096	-26.116699	-164.575982
23663		27.462724	-0.720967	8.642975	-22.256488	-3.911565	7.984410	0.939900	6.632378	-1.525302	-0.564941	0.050537	-0.397461	0.700744	-0.033391	0.157991	0.136455	-0.130973	-0.096183	-0.977228	9.131042	-16.393337	-165.419869
