// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A8D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber
43925		8.638187	-1.246907	4.144418	0.874267	-0.823309	-0.225872	-0.166158	0.008704	0.159440	-0.675293	-0.146240	-0.789551	0.086394	-0.012366	0.041451	-0.838851	-0.100983	0.502227	-0.184117	-1.870439	-61.615018	25.874121						
43926		8.917988	-1.122779	3.849072	1.176717	-0.526401	-0.120181	-0.090547	0.122603	0.173303	-0.675293	-0.146240	-0.793945	0.089213	-0.011133	0.038441	-0.839016	-0.100004	0.501942	-0.184678	-2.115254	-61.547404	26.086873						
43927		8.883818	-0.976363	3.632142	1.284057	-0.299450	-0.256045	-0.034669	0.239858	0.175823	-0.677490	-0.150635	-0.798340	0.088890	-0.009679	0.036217	-0.839441	-0.099156	0.501113	-0.185455	-2.323161	-61.412423	26.295991						
43928		8.511745	-0.819366	3.167543	1.447696	-0.047728	-0.809558	0.030638	0.254578	0.165242	-0.668701	-0.148193	-0.807373	0.085164	-0.008128	0.031566	-0.839880	-0.098585	0.500155	-0.186352	-2.481245	-61.268768	26.489777						
43929		8.147722	-1.128476	3.018112	1.552007	-0.335609	-1.196050	0.078644	0.202759	0.139731	-0.677734	-0.144043	-0.802979	0.081516	-0.011240	0.030094	-0.840186	-0.098337	0.499357	-0.187243	-2.584962	-61.155390	26.654625						
43930		8.072628	-1.463592	3.128199	1.579261	-0.681789	-1.202453	0.101844	0.114096	0.123380	-0.675293	-0.148438	-0.800781	0.080753	-0.014602	0.031228	-0.840278	-0.098298	0.498899	-0.188070	-2.663091	-61.092472	26.803668						
43931		8.170047	-1.798141	3.175428	1.725547	-0.972458	-1.086684	0.112228	0.016160	0.108613	-0.671143	-0.143799	-0.800781	0.081713	-0.017955	0.031738	-0.840130	-0.098444	0.498836	-0.188821	-2.723111	-61.086507	26.940774						
43932		8.261781	-1.823222	3.001614	1.912054	-0.908440	-1.088604	0.144654	-0.066601	0.107709	-0.671143	-0.143799	-0.798340	0.082618	-0.018209	0.030030	-0.839760	-0.098797	0.499092	-0.189603	-2.769105	-61.127822	27.081619						
43933		8.192503	-2.092179	2.933799	2.042746	-1.141540	-1.174078	0.211800	-0.108740	0.113359	-0.673096	-0.146240	-0.800781	0.081921	-0.020906	0.029360	-0.839245	-0.099467	0.499461	-0.190561	-2.783638	-61.193107	27.231832						
43934		8.412182	-2.145815	3.167365	1.965627	-1.225381	-0.866387	0.307728	-0.146753	0.120863	-0.675293	-0.148438	-0.798340	0.084112	-0.021456	0.031702	-0.838580	-0.100544	0.499902	-0.191764	-2.755028	-61.279714	27.393599						
43935		8.529844	-2.356573	3.177283	2.093086	-1.395445	-0.752967	0.410575	-0.110722	0.132669	-0.675049	-0.155029	-0.798340	0.085296	-0.023574	0.031772	-0.837936	-0.102001	0.500095	-0.193297	-2.676671	-61.345685	27.567532						
43936		8.583557	-2.540021	3.242624	2.146397	-1.572653	-0.671380	0.502785	-0.025024	0.156285	-0.674805	-0.157227	-0.793945	0.085851	-0.025415	0.032373	-0.837434	-0.103693	0.499850	-0.195197	-2.567216	-61.361862	27.764868						
43937		8.626992	-2.523777	3.390873	2.053710	-1.598978	-0.565095	0.562022	0.059149	0.178729	-0.681641	-0.157471	-0.793945	0.086302	-0.025256	0.033812	-0.837081	-0.105502	0.499203	-0.197387	-2.442315	-61.329751	27.984588						
43938		8.531445	-2.349690	3.766450	1.659620	-1.598022	-0.475413	0.568334	0.114550	0.192616	-0.669922	-0.166016	-0.791748	0.085359	-0.023522	0.037549	-0.836842	-0.107240	0.498322	-0.199674	-2.326855	-61.265920	28.218228						
43939		8.627451	-2.197284	3.931667	1.524141	-1.496376	-0.317595	0.556841	0.095874	0.185180	-0.672119	-0.168457	-0.791748	0.086314	-0.022002	0.039214	-0.836563	-0.108974	0.497521	-0.201893	-2.209527	-61.213074	28.443424						
43940		8.742854	-1.764084	3.713759	1.568829	-0.995013	-0.331643	0.519063	0.056850	0.168199	-0.672119	-0.166260	-0.787354	0.087454	-0.017664	0.037067	-0.836219	-0.110626	0.496906	-0.203922	-2.097812	-61.182859	28.649856						
43941		8.743921	-1.101356	3.800590	1.210704	-0.436320	-0.301776	0.446117	-0.019065	0.152095	-0.676025	-0.177490	-0.787354	0.087444	-0.011032	0.037990	-0.835736	-0.112094	0.496672	-0.205661	-2.013725	-61.196907	28.840694						
43942		9.056122	-0.471614	4.210649	0.731521	0.034068	0.158724	0.339208	-0.098888	0.161329	-0.674072	-0.175049	-0.785156	0.090544	-0.004715	0.042143	-0.835101	-0.113171	0.496887	-0.207128	-2.004321	-61.256767	29.046373						
43943		9.771068	0.304956	4.407235	0.509530	0.811544	0.867774	0.223256	-0.121608	0.161389	-0.676270	-0.175293	-0.780762	0.097681	0.003079	0.044135	-0.834473	-0.113790	0.497313	-0.208293	-2.062154	-61.329378	29.253246						
43944		10.312246	0.680317	4.979425	0.099802	1.046973	1.610700	0.130879	-0.064541	0.168890	-0.678467	-0.173096	-0.787354	0.103101	0.006858	0.049832	-0.834029	-0.113944	0.497603	-0.209292	-2.179702	-61.369298	29.467487						
43945		10.897880	0.769055	6.465911	-0.870153	0.682827	2.834043	0.068866	0.036345	0.191271	-0.673828	-0.179688	-0.782959	0.108983	0.007773	0.064642	-0.833848	-0.113679	0.497547	-0.210288	-2.351809	-61.350398	29.703643						
43946		11.713222	1.045744	8.458643	-2.226657	0.348071	4.496840	0.018765	0.025272	0.248331	-0.673828	-0.175049	-0.780762	0.117130	0.010595	0.084573	-0.833608	-0.113073	0.497622	-0.211388	-2.612764	-61.335978	30.008087						
43947		12.985538	1.666103	8.318810	-1.896779	1.292419	5.527925	-0.021117	0.005879	0.360177	-0.671875	-0.172852	-0.780762	0.129828	0.016904	0.083183	-0.833221	-0.112044	0.497881	-0.212846	-3.014209	-61.328681	30.446922						
43948		12.879054	2.153438	6.656176	-0.888747	2.416835	4.615778	-0.111827	0.162614	0.472654	-0.674316	-0.166260	-0.780762	0.128793	0.021876	0.066445	-0.833151	-0.110191	0.497644	-0.214632	-3.574268	-61.226210	31.007642						
43949		11.364777	1.526712	6.522854	-1.131994	1.618044	3.230953	-0.264441	0.211629	0.561739	-0.679199	-0.159668	-0.780762	0.113673	0.015672	0.065088	-0.833185	-0.107427	0.497412	-0.216436	-4.306520	-61.089229	31.665708						
43950		9.767102	0.350511	6.123959	-0.947066	0.411784	1.674478	-0.336045	0.144685	0.586667	-0.675293	-0.148438	-0.785156	0.097704	0.003894	0.061163	-0.833051	-0.104373	0.497547	-0.218126	-5.105217	-60.985513	32.353488						
43951		8.385468	-0.059717	5.215745	-0.631399	0.113281	0.041846	-0.290374	0.110702	0.522127	-0.675293	-0.146240	-0.787354	0.083885	-0.000303	0.052112	-0.832873	-0.101706	0.497731	-0.219642	-5.809751	-60.899900	32.964215						
43952		7.496119	-0.522315	5.319428	-0.877886	-0.522943	-0.663008	-0.168040	0.035923	0.419924	-0.680176	-0.139893	-0.782959	0.074981	-0.005021	0.053185	-0.832552	-0.099878	0.498040	-0.220994	-6.345522	-60.860010	33.461545						
43953		6.786243	-0.833026	5.682007	-1.322609	-1.099579	-1.090657	-0.015420	-0.071056	0.330401	-0.679932	-0.146484	-0.782959	0.067856	-0.008214	0.056845	-0.831984	-0.099032	0.498575	-0.222301	-6.713400	-60.884820	33.867640						
