// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40AC7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber
60744		20.296436	-8.382404	-9.155895	12.256534	14.214487	4.802507	-2.724479	1.388501	-5.078538	-0.447266	-0.760010	0.187500	0.200091	-0.090179	-0.091755	-0.513806	-0.685539	0.236372	-0.458441	96.047199	-60.628359	17.442101						
60745		19.445932	-12.674365	-9.838747	15.645183	16.634370	0.862591	-1.513722	1.078032	-4.976777	-0.413086	-0.779785	0.168213	0.190683	-0.132265	-0.098435	-0.531507	-0.684796	0.220000	-0.447386	93.737279	-57.843745	19.112862						
60746		16.387976	-11.881195	-7.550755	14.758080	13.955086	-2.456526	-0.219372	0.394635	-4.802877	-0.376953	-0.794922	0.168701	0.160814	-0.122782	-0.075694	-0.543269	-0.688418	0.202951	-0.435603	93.028342	-55.111565	19.812525						
60747		11.968562	-2.296715	-2.154248	7.518388	5.135371	-1.431694	0.231577	-0.068756	-4.347763	-0.341064	-0.805664	0.173584	0.119156	-0.025537	-0.021530	-0.551778	-0.693410	0.187738	-0.423648	93.033981	-52.627268	19.955285						
60748		8.709446	4.567086	-3.786846	0.369694	3.913425	-0.035669	-0.549106	-0.193061	-3.515969	-0.318604	-0.814453	0.162842	0.087915	0.044026	-0.037906	-0.560850	-0.695499	0.177231	-0.412696	92.733179	-50.611343	19.937924						
60749		12.785859	3.524728	-1.502859	4.730348	3.145580	2.265230	-1.063902	-0.240391	-2.913674	-0.302490	-0.829834	0.154297	0.128371	0.033300	-0.015055	-0.570313	-0.695478	0.170070	-0.402653	92.201160	-48.943269	19.821459						
60750		11.698473	-1.145231	-9.860801	4.515313	12.125555	-1.567757	-1.141562	-0.327031	-1.118490	-0.293457	-0.832031	0.134521	0.117077	-0.012669	-0.098347	-0.576228	-0.693813	0.169423	-0.397342	91.736733	-48.297979	19.569030						
60751		10.466237	-14.870844	-5.903522	14.791849	11.951799	-11.785177	-0.962042	0.616005	0.162805	-0.306885	-0.827881	0.132080	0.104603	-0.148906	-0.058642	-0.579806	-0.689624	0.170268	-0.399065	90.789193	-48.404803	20.079447						
60752		4.176716	-15.245100	-2.385120	12.433134	7.285308	-16.732719	-0.337214	0.232921	0.834190	-0.322510	-0.821533	0.120850	0.042375	-0.152315	-0.023643	-0.579487	-0.687468	0.173157	-0.401994	90.452290	-48.885829	20.271184						
60753		2.012588	-10.929253	-0.662879	8.731618	4.039980	-15.413932	0.355608	0.008556	1.332654	-0.329590	-0.816895	0.138428	0.020853	-0.109143	-0.006824	-0.575649	-0.687251	0.177161	-0.406114	90.655025	-49.655821	20.248153						
60754		2.033809	-7.355902	-0.238227	6.390701	2.744437	-12.963481	1.143892	-0.095189	1.662482	-0.352295	-0.803955	0.142578	0.020950	-0.073371	-0.002792	-0.568219	-0.689233	0.180833	-0.411563	91.398314	-50.608859	20.133974						
