// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40ACF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
31723		9.687525	0.382672	-1.845202	0.004286	0.023608	0.056395	0.004491	-0.026552	-0.018131	-0.988281	-0.236328	-0.275879	0.096878	0.003818	-0.018439	0.629172	0.155916	-0.754081	0.105806	168.854862	-79.078176	-147.426513
31724		9.667805	0.376831	-1.782073	-0.051268	-0.003544	0.025076	0.000780	-0.030738	-0.019779	-0.992432	-0.240967	-0.269287	0.096681	0.003759	-0.017806	0.629043	0.155911	-0.754197	0.105747	168.869597	-79.058029	-147.446241
31725		9.760000	0.415219	-1.772169	-0.092701	0.017793	0.115136	0.000340	-0.034367	-0.016629	-0.983887	-0.231934	-0.267090	0.097603	0.004144	-0.017705	0.628896	0.155901	-0.754329	0.105699	168.896589	-79.035863	-147.477675
31726		9.760289	0.348910	-1.819060	-0.028735	-0.028561	0.121714	-0.003545	-0.029461	-0.019651	-0.990479	-0.234131	-0.269287	0.097606	0.003479	-0.018176	0.628776	0.155881	-0.754444	0.105624	168.908342	-79.016445	-147.496890
31727		9.738363	0.351701	-1.810355	-0.037904	-0.028567	0.098647	0.007559	-0.038532	-0.023377	-0.992676	-0.234131	-0.273682	0.097388	0.003506	-0.018085	0.628606	0.155911	-0.754587	0.105570	168.923926	-78.990280	-147.514010
31728		9.771169	0.380978	-1.855595	-0.016429	0.009287	0.140390	0.009369	-0.039575	-0.025066	-0.988037	-0.240723	-0.269287	0.097716	0.003798	-0.018536	0.628441	0.155957	-0.754722	0.105520	168.933034	-78.964576	-147.522996
31729		9.716856	0.421449	-1.906341	0.020161	0.068566	0.098112	0.016560	-0.033222	-0.024140	-0.990479	-0.236328	-0.273682	0.097172	0.004204	-0.019047	0.628290	0.156019	-0.754837	0.105504	168.945870	-78.942174	-147.531589
31730		9.706622	0.419539	-1.876755	-0.008139	0.055713	0.082440	0.025365	-0.034774	-0.023230	-0.988281	-0.234131	-0.275879	0.097070	0.004186	-0.018750	0.628129	0.156107	-0.754950	0.105523	168.966625	-78.919370	-147.543105
31731		9.708860	0.445167	-1.875943	-0.021695	0.077729	0.085433	0.021324	-0.020361	-0.019756	-0.990479	-0.236328	-0.273682	0.097091	0.004444	-0.018749	0.628028	0.156141	-0.755027	0.105524	168.982675	-78.904973	-147.555988
31732		9.716749	0.385863	-1.810228	-0.063633	-0.002233	0.078570	0.017109	-0.018073	-0.018442	-0.988525	-0.229736	-0.273682	0.097169	0.003851	-0.018093	0.627934	0.156175	-0.755095	0.105540	169.003002	-78.892083	-147.571891
31733		9.700770	0.435984	-1.793099	-0.097670	0.039048	0.061479	0.014514	-0.023692	-0.017141	-0.992920	-0.234375	-0.267090	0.097010	0.004353	-0.017919	0.627824	0.156172	-0.755192	0.105512	169.024452	-78.875761	-147.595602
31734		9.718624	0.412597	-1.811225	-0.078294	0.021208	0.081545	0.015509	-0.026131	-0.015379	-0.983887	-0.234131	-0.264893	0.097189	0.004120	-0.018099	0.627699	0.156194	-0.755289	0.105525	169.056975	-78.858670	-147.624875
31735		9.682271	0.394912	-1.826332	-0.055425	0.013307	0.048072	0.008814	-0.028450	-0.011582	-0.995117	-0.229980	-0.267090	0.096826	0.003944	-0.018249	0.627561	0.156180	-0.755407	0.105523	169.100348	-78.839650	-147.669285
31736		9.666182	0.444486	-1.809853	-0.089450	0.054737	0.030951	0.007015	-0.027411	-0.009894	-0.992920	-0.234375	-0.267090	0.096665	0.004441	-0.018085	0.627435	0.156155	-0.755517	0.105520	169.144120	-78.822423	-147.714989
31737		9.648168	0.401735	-1.840781	-0.046190	0.027477	0.017578	0.002620	-0.031990	-0.006902	-0.979492	-0.231689	-0.271484	0.096485	0.004014	-0.018392	0.627287	0.156087	-0.755659	0.105487	169.197909	-78.801546	-147.776765
31738		9.684639	0.385341	-1.926024	0.027681	0.038160	0.069016	0.004015	-0.041922	-0.009275	-0.986328	-0.229736	-0.269287	0.096851	0.003849	-0.019240	0.627108	0.156058	-0.755816	0.105464	169.249240	-78.776201	-147.831935
31739		9.739500	0.440214	-1.835575	-0.088644	0.050322	0.107524	-0.003117	-0.037168	-0.009210	-0.983887	-0.234131	-0.269287	0.097399	0.004397	-0.018338	0.626957	0.155980	-0.755969	0.105386	169.289022	-78.753212	-147.884205
31740		9.787691	0.419717	-1.900001	-0.034204	0.048197	0.166369	-0.009614	-0.037885	-0.010920	-0.986084	-0.231934	-0.264893	0.097881	0.004191	-0.018982	0.626805	0.155913	-0.756120	0.105310	169.325312	-78.729949	-147.932015
